ID: 54
Topic: foods
History publications: 20
Connection: tcp://localhost:5557
*************************************************
Receipt Info:
Receive: asparagus
Time: 0.000239
*************************************************
Receipt Info:
Receive: apples
Time: 0.000325
*************************************************
Receipt Info:
Receive: avacado
Time: 0.000332
*************************************************
Receipt Info:
Receive: alfalfa
Time: 0.000338
*************************************************
Receipt Info:
Receive: acorn squash
Time: 0.000336
*************************************************
Receipt Info:
Receive: almond
Time: 0.000279
*************************************************
Receipt Info:
Receive: arugala
Time: 0.000182
*************************************************
Receipt Info:
Receive: artichoke
Time: 0.000155
*************************************************
Receipt Info:
Receive: applesauce
Time: 0.008199
*************************************************
Receipt Info:
Receive: asian noodles
Time: 0.005674
*************************************************
Receipt Info:
Receive: antelope
Time: 0.005704
*************************************************
Receipt Info:
Receive: ahi tuna
Time: 0.006518
*************************************************
Receipt Info:
Receive: albacore tuna
Time: 0.005650
*************************************************
Receipt Info:
Receive: Apple juice
Time: 0.006260
*************************************************
Receipt Info:
Receive: Avocado roll
Time: 0.005514
*************************************************
Receipt Info:
Receive: Bruscetta
Time: 0.005477
*************************************************
Receipt Info:
Receive: bacon
Time: 0.005637
*************************************************
Receipt Info:
Receive: black beans
Time: 0.005561
*************************************************
Receipt Info:
Receive: bagels
Time: 0.006657
*************************************************
Receipt Info:
Receive: baked beans
Time: 0.006633
*************************************************
Receipt Info:
Receive: BBQ
Time: 0.006687
*************************************************
Receipt Info:
Receive: bison
Time: 0.006230
*************************************************
Receipt Info:
Receive: barley
Time: 0.017789
*************************************************
Receipt Info:
Receive: beer
Time: 0.006517
*************************************************
Receipt Info:
Receive: bisque
Time: 0.006549
*************************************************
Receipt Info:
Receive: bluefish
Time: 0.006052
*************************************************
Receipt Info:
Receive: bread
Time: 0.006624
*************************************************
Receipt Info:
Receive: broccoli
Time: 0.006596
*************************************************
Receipt Info:
Receive: buritto
Time: 0.005318
*************************************************
Receipt Info:
Receive: babaganoosh
Time: 0.005284
*************************************************
Receipt Info:
Receive: Cabbage
Time: 0.006540
*************************************************
Receipt Info:
Receive: cake
Time: 0.006123
*************************************************
Receipt Info:
Receive: carrots
Time: 0.006536
*************************************************
Receipt Info:
Receive: carne asada
Time: 0.005324
*************************************************
Receipt Info:
Receive: celery
Time: 0.005274
*************************************************
Receipt Info:
Receive: cheese
Time: 0.005513
*************************************************
Receipt Info:
Receive: chicken
Time: 0.005358
*************************************************
Receipt Info:
Receive: catfish
Time: 0.005444
*************************************************
Receipt Info:
Receive: chips
Time: 0.005353
*************************************************
Receipt Info:
Receive: chocolate
Time: 0.006610
*************************************************
Receipt Info:
Receive: chowder
Time: 0.006545
*************************************************
Receipt Info:
Receive: clams
Time: 0.006521
*************************************************
Receipt Info:
Receive: coffee
Time: 0.006033
*************************************************
Receipt Info:
Receive: cookies
Time: 0.005349
*************************************************
Receipt Info:
Receive: corn
Time: 0.004913
*************************************************
Receipt Info:
Receive: cupcakes
Time: 0.006500
*************************************************
Receipt Info:
Receive: crab
Time: 0.005354
*************************************************
Receipt Info:
Receive: curry
Time: 0.006591
*************************************************
Receipt Info:
Receive: cereal
Time: 0.011837
*************************************************
Receipt Info:
Receive: chimichang
Time: 0.005623
